,Set,Point,Area,GCP,Projections,Control_or_Check,Error_(m),Squared_Residual,Enable,X/Longitude,Y/Latitude,Z/Altitude,Easting,Northing,X_error,Y_error,Z_error,X_est,Y_est,Z_est
97,GroupJ,7,Entire Basin,T4,194.0,Control Point,0.014475,0.000209525625,1.0,-106.18664799999999,38.73335,2759.098,396859.8935383171,4287855.160595846,0.001082,0.012743,0.00678,-106.18664799999999,38.73335,2759.10478
99,GroupJ,7,Entire Basin,DT2,81.0,Control Point,0.032174,0.001035166276,1.0,-106.183741,38.730512,2658.782,397108.4980586996,4287536.953603285,0.020066999999999998,-0.011989,-0.022106999999999998,-106.183741,38.730512,2658.759893
101,GroupJ,7,Entire Basin,DT4,239.0,Control Point,0.017429,0.000303770041,1.0,-106.185427,38.732221,2711.947,396964.40064872376,4287728.499324151,-0.016604,0.0036409999999999997,0.0038520000000000004,-106.185428,38.732221,2711.950852
102,GroupJ,7,Entire Basin,DT5,209.0,Control Point,0.034086,0.001161855396,1.0,-106.185148,38.733289,2792.872,396990.18577877176,4287846.702616913,-0.006108,-0.006139,0.032967,-106.185148,38.733289,2792.9049670000004
103,GroupJ,7,Entire Basin,RD1,0.0,Control Point,0.0,0.0,1.0,-106.184027,38.73474,3036.657,397089.705397536,4288006.461182902,-0.0,-0.0,-0.0,-106.184027,38.73474,3036.657
105,GroupJ,7,Entire Basin,RD3,56.0,Control Point,0.011484000000000001,0.00013188225600000003,1.0,-106.187577,38.736354999999996,3028.458,396783.47042138217,4288189.676168607,-0.001396,-0.001668,-0.011276000000000001,-106.187577,38.736354999999996,3028.446724
107,GroupJ,7,Entire Basin,RD5,8.0,Control Point,0.006718000000000001,4.513152400000001e-05,1.0,-106.189552,38.735007,3128.597,396609.8671470645,4288042.315433306,0.00473,0.002009,0.004327,-106.189552,38.735007,3128.601327
25,GroupL,7,Ridge,T4,194.0,Check Point,0.024734,0.000611770756,0.0,-106.18664799999999,38.73335,2759.098,396859.8935383171,4287855.160595846,0.011838,0.008479,0.019993,-106.18664799999999,38.73335,2759.117993
26,GroupL,7,Ridge,DT1,15.0,Check Point,0.014808000000000002,0.00021927686400000006,0.0,-106.183008,38.730469,2670.836,397172.1512099126,4287531.358390766,-0.009641,-0.004001,0.010504000000000001,-106.183008,38.730469,2670.846504
28,GroupL,7,Ridge,DT3,153.0,Check Point,0.053126,0.002822371876,0.0,-106.184471,38.731238,2683.178,397046.0862232649,4287618.339250248,-0.0052049999999999996,-0.030612,-0.043107,-106.184471,38.731237,2683.134893
30,GroupL,7,Ridge,DT5,209.0,Check Point,0.058837,0.003461792569,0.0,-106.185148,38.733289,2792.872,396990.18577877176,4287846.702616913,-0.001607,-0.0157,0.056680999999999995,-106.185148,38.733289,2792.928681
33,GroupL,7,Ridge,RD3,56.0,Check Point,0.012766,0.00016297075599999998,0.0,-106.187577,38.736354999999996,3028.458,396783.47042138217,4288189.676168607,-0.0076370000000000006,-0.003812,-0.009492,-106.187577,38.736354999999996,3028.448508
24,GroupL,7,Ridge,T3,217.0,Control Point,0.014512,0.000210598144,1.0,-106.186826,38.733321000000004,2763.751,396844.38007787336,4287852.142968999,-0.008806,0.01116,0.002918,-106.186826,38.733321999999994,2763.753918
27,GroupL,7,Ridge,DT2,81.0,Control Point,0.024634,0.000606833956,1.0,-106.183741,38.730512,2658.782,397108.4980586996,4287536.953603285,0.021024,-0.010253,-0.007726,-106.183741,38.730512,2658.774274
29,GroupL,7,Ridge,DT4,239.0,Control Point,0.023365,0.000545923225,1.0,-106.185427,38.732221,2711.947,396964.40064872376,4287728.499324151,-0.008948000000000001,0.001454,0.021535,-106.185428,38.732221,2711.968535
31,GroupL,7,Ridge,RD1,0.0,Control Point,0.0,0.0,1.0,-106.184027,38.73474,3036.657,397089.705397536,4288006.461182902,-0.0,-0.0,0.0,-106.184027,38.73474,3036.657
32,GroupL,7,Ridge,RD2,14.0,Control Point,0.019998,0.00039992000399999994,1.0,-106.185627,38.735308,3038.103,396951.4525081234,4288071.292555918,-0.006157999999999999,-0.001993,-0.018921,-106.185627,38.735308,3038.0840789999997
34,GroupL,7,Ridge,RD4,49.0,Control Point,0.024631999999999998,0.0006067354239999999,1.0,-106.188271,38.73666,3012.2,396723.58982239134,4288224.305086758,0.016048,-0.005686,0.0178,-106.188271,38.736659,3012.2178
35,GroupL,7,Ridge,RD5,8.0,Control Point,0.012762,0.00016286864400000002,1.0,-106.189552,38.735007,3128.597,396609.8671470645,4288042.315433306,-0.011983,0.0041270000000000005,0.001492,-106.189552,38.735007,3128.598492
86,GroupN,8,Channel,DT1,15.0,Check Point,0.022362,0.000500059044,0.0,-106.183008,38.730469,2670.836,397172.1512099126,4287531.358390766,-0.002483,0.018106999999999998,0.012884999999999999,-106.183008,38.730469,2670.8488850000003
91,GroupN,8,Channel,RD1,0.0,Check Point,,,0.0,-106.184027,38.73474,3036.657,397089.705397536,4288006.461182902,,,,,,
92,GroupN,8,Channel,RD2,14.0,Check Point,0.075235,0.0056603052249999996,0.0,-106.185627,38.735308,3038.103,396951.4525081234,4288071.292555918,-0.0034799999999999996,0.028813,-0.069412,-106.185627,38.735309,3038.033588
93,GroupN,8,Channel,RD3,56.0,Check Point,0.044669,0.001995319561,0.0,-106.187577,38.736354999999996,3028.458,396783.47042138217,4288189.676168607,-0.014378,0.005179,-0.041974000000000004,-106.187577,38.736354999999996,3028.4160260000003
84,GroupN,8,Channel,T3,217.0,Control Point,0.018628,0.00034700238399999994,1.0,-106.186826,38.733321000000004,2763.751,396844.38007787336,4287852.142968999,-0.017051,0.007097,-0.002433,-106.186826,38.733321999999994,2763.748567
85,GroupN,8,Channel,T4,194.0,Control Point,0.013696000000000002,0.00018758041600000003,1.0,-106.18664799999999,38.73335,2759.098,396859.8935383171,4287855.160595846,0.002543,0.005429,0.012314,-106.18664799999999,38.73335,2759.110314
87,GroupN,8,Channel,DT2,81.0,Control Point,0.027975,0.000782600625,1.0,-106.183741,38.730512,2658.782,397108.4980586996,4287536.953603285,0.027694,0.003846,0.0009339999999999999,-106.183741,38.730512,2658.782934
88,GroupN,8,Channel,DT3,153.0,Control Point,0.044244,0.001957531536,1.0,-106.184471,38.731238,2683.178,397046.0862232649,4287618.339250248,-0.002537,-0.021013,-0.038853,-106.184471,38.731238,2683.139147
89,GroupN,8,Channel,DT4,239.0,Control Point,0.023008,0.0005293680640000001,1.0,-106.185427,38.732221,2711.947,396964.40064872376,4287728.499324151,-0.012409,0.0046630000000000005,0.018806,-106.185428,38.732221,2711.9658059999997
90,GroupN,8,Channel,DT5,209.0,Control Point,0.03429,0.0011758041000000002,1.0,-106.185148,38.733289,2792.872,396990.18577877176,4287846.702616913,-0.0074849999999999995,-0.0014609999999999998,0.033431,-106.185148,38.733289,2792.9054309999997
94,GroupN,8,Channel,RD4,49.0,Control Point,0.010139,0.00010279932100000001,1.0,-106.188271,38.73666,3012.2,396723.58982239134,4288224.305086758,0.0050030000000000005,-0.004823,-0.007383,-106.188271,38.736659,3012.192617
95,GroupN,8,Channel,RD5,8.0,Control Point,0.007859999999999999,6.177959999999998e-05,1.0,-106.189552,38.735007,3128.597,396609.8671470645,4288042.315433306,0.005526,0.005463,-0.001181,-106.189552,38.735007,3128.595819
12,GroupM,8,Entire Basin,T3,217.0,Check Point,0.025672000000000004,0.0006590515840000002,0.0,-106.186826,38.733321000000004,2763.751,396844.38007787336,4287852.142968999,-0.020963,0.011482,-0.009367,-106.18682700000001,38.733321999999994,2763.7416329999996
14,GroupM,8,Entire Basin,DT1,15.0,Check Point,0.008555,7.3188025e-05,0.0,-106.183008,38.730469,2670.836,397172.1512099126,4287531.358390766,-0.005673,0.000786,-0.0063549999999999995,-106.183008,38.730469,2670.829645
16,GroupM,8,Entire Basin,DT3,153.0,Check Point,0.066313,0.004397413968999999,0.0,-106.184471,38.731238,2683.178,397046.0862232649,4287618.339250248,-0.00722,-0.029983,-0.05870499999999999,-106.184471,38.731237,2683.119295
20,GroupM,8,Entire Basin,RD2,14.0,Check Point,0.055686,0.003100930596,0.0,-106.185627,38.735308,3038.103,396951.4525081234,4288071.292555918,-0.001191,0.015829,-0.053376,-106.185627,38.735309,3038.0496239999998
13,GroupM,8,Entire Basin,T4,194.0,Control Point,0.0111,0.00012321,1.0,-106.18664799999999,38.73335,2759.098,396859.8935383171,4287855.160595846,-0.00065,0.009492,0.005718,-106.18664799999999,38.73335,2759.103718
15,GroupM,8,Entire Basin,DT2,81.0,Control Point,0.031868,0.001015569424,1.0,-106.183741,38.730512,2658.782,397108.4980586996,4287536.953603285,0.02255,-0.009829000000000001,-0.020261,-106.183741,38.730512,2658.761739
17,GroupM,8,Entire Basin,DT4,236.0,Control Point,0.017307,0.00029953224899999996,1.0,-106.185427,38.732221,2711.947,396964.40064872376,4287728.499324151,-0.016538999999999998,0.002355,0.004523,-106.185428,38.732221,2711.951523
18,GroupM,8,Entire Basin,DT5,209.0,Control Point,0.031658,0.0010022289639999998,1.0,-106.185148,38.733289,2792.872,396990.18577877176,4287846.702616913,-0.0076359999999999996,-0.00551,0.030225,-106.185148,38.733289,2792.902225
19,GroupM,8,Entire Basin,RD1,0.0,Control Point,0.0,0.0,1.0,-106.184027,38.73474,3036.657,397089.705397536,4288006.461182902,-0.0,0.0,-0.0,-106.184027,38.73474,3036.657
21,GroupM,8,Entire Basin,RD3,56.0,Control Point,0.023417,0.000548355889,1.0,-106.187577,38.736354999999996,3028.458,396783.47042138217,4288189.676168607,-0.008896,0.002137,-0.021556,-106.187577,38.736354999999996,3028.436444
22,GroupM,8,Entire Basin,RD4,49.0,Control Point,0.017946,0.000322058916,1.0,-106.188271,38.73666,3012.2,396723.58982239134,4288224.305086758,0.011561,-0.0030629999999999998,0.013381,-106.188271,38.73666,3012.213381
23,GroupM,8,Entire Basin,RD5,8.0,Control Point,0.004636,2.1492496000000004e-05,1.0,-106.189552,38.735007,3128.597,396609.8671470645,4288042.315433306,0.001484,0.0029219999999999997,0.003278,-106.189552,38.735007,3128.6002780000003
133,GroupO,8,Ridge,T4,194.0,Check Point,0.016228,0.00026334798399999996,0.0,-106.18664799999999,38.73335,2759.098,396859.8935383171,4287855.160595846,0.00852,0.009664,0.009868,-106.18664799999999,38.73335,2759.107868
134,GroupO,8,Ridge,DT1,15.0,Check Point,0.0070019999999999995,4.9028003999999996e-05,0.0,-106.183008,38.730469,2670.836,397172.1512099126,4287531.358390766,-0.006645,-0.000729,-0.0020829999999999998,-106.183008,38.730469,2670.8339170000004
136,GroupO,8,Ridge,DT3,153.0,Check Point,0.062342999999999996,0.0038866496489999994,0.0,-106.184471,38.731238,2683.178,397046.0862232649,4287618.339250248,-0.003925,-0.029210000000000003,-0.054937,-106.184471,38.731237,2683.123063
141,GroupO,8,Ridge,RD3,56.0,Check Point,0.017006999999999998,0.00028923804899999995,0.0,-106.187577,38.736354999999996,3028.458,396783.47042138217,4288189.676168607,-0.008827,-0.000998,-0.014503,-106.187577,38.736354999999996,3028.4434969999998
132,GroupO,8,Ridge,T3,217.0,Control Point,0.01814,0.00032905959999999997,1.0,-106.186826,38.733321000000004,2763.751,396844.38007787336,4287852.142968999,-0.012027,0.011995,-0.006367,-106.186826,38.733321999999994,2763.744633
135,GroupO,8,Ridge,DT2,81.0,Control Point,0.030692,0.000941998864,1.0,-106.183741,38.730512,2658.782,397108.4980586996,4287536.953603285,0.023280000000000002,-0.008425,-0.01814,-106.183741,38.730512,2658.76386
137,GroupO,8,Ridge,DT4,239.0,Control Point,0.014111000000000002,0.00019912032100000005,1.0,-106.185427,38.732221,2711.947,396964.40064872376,4287728.499324151,-0.009889,0.0027,0.009696999999999999,-106.185428,38.732221,2711.956697
138,GroupO,8,Ridge,DT5,209.0,Control Point,0.043175,0.0018640806249999998,1.0,-106.185148,38.733289,2792.872,396990.18577877176,4287846.702616913,-0.001831,-0.010864,0.041745,-106.185148,38.733289,2792.913745
139,GroupO,8,Ridge,RD1,0.0,Control Point,0.0,0.0,1.0,-106.184027,38.73474,3036.657,397089.705397536,4288006.461182902,0.0,0.0,-0.0,-106.184027,38.73474,3036.657
140,GroupO,8,Ridge,RD2,14.0,Control Point,0.029844,0.000890664336,1.0,-106.185627,38.735308,3038.103,396951.4525081234,4288071.292555918,-0.003954999999999999,0.004113,-0.029294,-106.185627,38.735308,3038.0737059999997
142,GroupO,8,Ridge,RD4,49.0,Control Point,0.02083,0.00043388890000000004,1.0,-106.188271,38.73666,3012.2,396723.58982239134,4288224.305086758,0.013381,-0.00414,0.015418000000000001,-106.188271,38.736659,3012.2154179999998
143,GroupO,8,Ridge,RD5,8.0,Control Point,0.008277,6.850872899999999e-05,1.0,-106.189552,38.735007,3128.597,396609.8671470645,4288042.315433306,-0.007423000000000001,0.003037,0.002046,-106.189552,38.735007,3128.5990460000003
115,GroupH,9,Channel,RD1,0.0,Check Point,,,0.0,-106.184027,38.73474,3036.657,397089.705397536,4288006.461182902,,,,,,
116,GroupH,9,Channel,RD2,14.0,Check Point,0.073434,0.0053925523559999996,0.0,-106.185627,38.735308,3038.103,396951.4525081234,4288071.292555918,-0.003679,0.027558999999999997,-0.067966,-106.185627,38.735309,3038.035034
117,GroupH,9,Channel,RD3,56.0,Check Point,0.04357,0.0018983448999999998,0.0,-106.187577,38.736354999999996,3028.458,396783.47042138217,4288189.676168607,-0.013831999999999999,0.005065999999999999,-0.041004,-106.187577,38.736354999999996,3028.416996
108,GroupH,9,Channel,T3,217.0,Control Point,0.018747,0.00035145000899999997,1.0,-106.186826,38.733321000000004,2763.751,396844.38007787336,4287852.142968999,-0.017037,0.007264,-0.0029010000000000004,-106.186826,38.733321999999994,2763.748099
109,GroupH,9,Channel,T4,194.0,Control Point,0.013406999999999999,0.00017974764899999997,1.0,-106.18664799999999,38.73335,2759.098,396859.8935383171,4287855.160595846,0.002652,0.0055130000000000005,0.01193,-106.18664799999999,38.73335,2759.10993
110,GroupH,9,Channel,DT1,15.0,Control Point,0.017245,0.000297390025,1.0,-106.183008,38.730469,2670.836,397172.1512099126,4287531.358390766,-0.0020440000000000002,0.012887000000000001,0.011275,-106.183008,38.730469,2670.847275
111,GroupH,9,Channel,DT2,81.0,Control Point,0.02735,0.0007480224999999999,1.0,-106.183741,38.730512,2658.782,397108.4980586996,4287536.953603285,0.027322000000000003,0.000667,0.001026,-106.183741,38.730512,2658.783026
112,GroupH,9,Channel,DT3,153.0,Control Point,0.045484,0.0020687942559999995,1.0,-106.184471,38.731238,2683.178,397046.0862232649,4287618.339250248,-0.002829,-0.023148,-0.039051,-106.184471,38.731238,2683.1389489999997
113,GroupH,9,Channel,DT4,239.0,Control Point,0.022578,0.000509766084,1.0,-106.185427,38.732221,2711.947,396964.40064872376,4287728.499324151,-0.012502,0.0036659999999999996,0.018438999999999997,-106.185428,38.732221,2711.965439
114,GroupH,9,Channel,DT5,209.0,Control Point,0.034802,0.001211179204,1.0,-106.185148,38.733289,2792.872,396990.18577877176,4287846.702616913,-0.007253,-0.0024010000000000004,0.033954000000000005,-106.185148,38.733289,2792.905954
118,GroupH,9,Channel,RD4,49.0,Control Point,0.009823,9.649132900000001e-05,1.0,-106.188271,38.73666,3012.2,396723.58982239134,4288224.305086758,0.00581,-0.004443,-0.0065569999999999995,-106.188271,38.736659,3012.193443
119,GroupH,9,Channel,RD5,8.0,Control Point,0.007845,6.154402499999999e-05,1.0,-106.189552,38.735007,3128.597,396609.8671470645,4288042.315433306,0.00492,0.005935,-0.0014529999999999999,-106.189552,38.735007,3128.595547
72,GroupG,9,Entire Basin,T3,217.0,Check Point,0.022637,0.000512433769,0.0,-106.186826,38.733321000000004,2763.751,396844.38007787336,4287852.142968999,-0.018241,0.013307,-0.001611,-106.18682700000001,38.733321999999994,2763.749389
74,GroupG,9,Entire Basin,DT1,15.0,Check Point,0.019441,0.000377952481,0.0,-106.183008,38.730469,2670.836,397172.1512099126,4287531.358390766,-0.005452,0.013121,0.013268,-106.183008,38.730469,2670.849268
80,GroupG,9,Entire Basin,RD2,14.0,Check Point,0.057587,0.003316262569,0.0,-106.185627,38.735308,3038.103,396951.4525081234,4288071.292555918,-0.004309,0.020227000000000002,-0.053745,-106.185627,38.735309,3038.049255
73,GroupG,9,Entire Basin,T4,194.0,Control Point,0.017787999999999998,0.00031641294399999993,1.0,-106.18664799999999,38.73335,2759.098,396859.8935383171,4287855.160595846,0.0017579999999999998,0.011378000000000001,0.013559,-106.18664799999999,38.73335,2759.111559
75,GroupG,9,Entire Basin,DT2,81.0,Control Point,0.024475999999999998,0.0005990745759999999,1.0,-106.183741,38.730512,2658.782,397108.4980586996,4287536.953603285,0.024409,0.00091,-0.0015689999999999999,-106.183741,38.730512,2658.7804309999997
76,GroupG,9,Entire Basin,DT3,153.0,Control Point,0.046777,0.0021880877289999997,1.0,-106.184471,38.731238,2683.178,397046.0862232649,4287618.339250248,-0.00534,-0.021544999999999998,-0.041175,-106.184471,38.731238,2683.136825
77,GroupG,9,Entire Basin,DT4,239.0,Control Point,0.023749,0.000564015001,1.0,-106.185427,38.732221,2711.947,396964.40064872376,4287728.499324151,-0.014231,0.007336,0.017542,-106.185428,38.732221,2711.964542
78,GroupG,9,Entire Basin,DT5,209.0,Control Point,0.039383999999999995,0.0015510994559999997,1.0,-106.185148,38.733289,2792.872,396990.18577877176,4287846.702616913,-0.007861,-0.0009449999999999999,0.03858,-106.185148,38.733289,2792.91058
79,GroupG,9,Entire Basin,RD1,0.0,Control Point,0.0,0.0,1.0,-106.184027,38.73474,3036.657,397089.705397536,4288006.461182902,0.0,0.0,0.0,-106.184027,38.73474,3036.657
81,GroupG,9,Entire Basin,RD3,56.0,Control Point,0.026106,0.000681523236,1.0,-106.187577,38.736354999999996,3028.458,396783.47042138217,4288189.676168607,-0.010576,0.002177,-0.023768,-106.187577,38.736354999999996,3028.434232
82,GroupG,9,Entire Basin,RD4,49.0,Control Point,0.015538999999999999,0.00024146052099999996,1.0,-106.188271,38.73666,3012.2,396723.58982239134,4288224.305086758,0.010374,-0.004517,0.01065,-106.188271,38.736659,3012.21065
83,GroupG,9,Entire Basin,RD5,8.0,Control Point,0.005564,3.095809600000001e-05,1.0,-106.189552,38.735007,3128.597,396609.8671470645,4288042.315433306,0.003038,0.004083,0.0022489999999999997,-106.189552,38.735007,3128.599249
145,GroupI,9,Ridge,T4,194.0,Check Point,0.023246,0.000540376516,0.0,-106.18664799999999,38.73335,2759.098,396859.8935383171,4287855.160595846,0.01097,0.011269,0.017119,-106.18664799999999,38.73335,2759.115119
146,GroupI,9,Ridge,DT1,15.0,Check Point,0.020848,0.0004346391039999999,0.0,-106.183008,38.730469,2670.836,397172.1512099126,4287531.358390766,-0.008001000000000001,0.010916,0.015857,-106.183008,38.730469,2670.851857
153,GroupI,9,Ridge,RD3,56.0,Check Point,0.019781,0.000391287961,0.0,-106.187577,38.736354999999996,3028.458,396783.47042138217,4288189.676168607,-0.010046,-0.001773,-0.016947999999999998,-106.187577,38.736354999999996,3028.441052
144,GroupI,9,Ridge,T3,217.0,Control Point,0.016471,0.000271293841,1.0,-106.186826,38.733321000000004,2763.751,396844.38007787336,4287852.142968999,-0.00928,0.013588999999999999,0.0007030000000000001,-106.186826,38.733321999999994,2763.751703
147,GroupI,9,Ridge,DT2,81.0,Control Point,0.023816,0.000567201856,1.0,-106.183741,38.730512,2658.782,397108.4980586996,4287536.953603285,0.023712,0.002006,-0.000951,-106.183741,38.730512,2658.7810489999997
148,GroupI,9,Ridge,DT3,153.0,Control Point,0.044183,0.001952137489,1.0,-106.184471,38.731238,2683.178,397046.0862232649,4287618.339250248,-0.003113,-0.0211,-0.038695,-106.184471,38.731238,2683.139305
149,GroupI,9,Ridge,DT4,239.0,Control Point,0.024447999999999998,0.0005977047039999999,1.0,-106.185427,38.732221,2711.947,396964.40064872376,4287728.499324151,-0.008117000000000001,0.007372,0.021851,-106.185427,38.732221,2711.968851
150,GroupI,9,Ridge,DT5,209.0,Control Point,0.050291,0.002529184681,1.0,-106.185148,38.733289,2792.872,396990.18577877176,4287846.702616913,-0.002283,-0.0072900000000000005,0.049707,-106.185148,38.733289,2792.921707
151,GroupI,9,Ridge,RD1,0.0,Control Point,0.0,0.0,1.0,-106.184027,38.73474,3036.657,397089.705397536,4288006.461182902,0.0,-0.0,-0.0,-106.184027,38.73474,3036.657
152,GroupI,9,Ridge,RD2,14.0,Control Point,0.030996,0.000960752016,1.0,-106.185627,38.735308,3038.103,396951.4525081234,4288071.292555918,-0.006437999999999999,0.006421,-0.029633,-106.185627,38.735309,3038.073367
154,GroupI,9,Ridge,RD4,49.0,Control Point,0.018746000000000002,0.0003514125160000001,1.0,-106.188271,38.73666,3012.2,396723.58982239134,4288224.305086758,0.01275,-0.006118,0.012305,-106.188271,38.736659,3012.212305
155,GroupI,9,Ridge,RD5,8.0,Control Point,0.0071719999999999996,5.143758399999999e-05,1.0,-106.189552,38.735007,3128.597,396609.8671470645,4288042.315433306,-0.00604,0.003849,0.000384,-106.189552,38.735007,3128.597384
